date_release,title,day_release,month_release,year_release,runtime,imdb score,genre1,genre2,language1,language2
May 26 2017,Joshua: Teenager vs. Superpower,Friday,May,2017,78,7.1,Documentary,,English,
October 20 2017,One of Us,Friday,October,2017,95,7.1,Documentary,,English,
April 6 2018,"Ram Dass, Going Home",Friday,April,2018,31,7.1,Documentary,,English,
May 4 2018,End Game,Friday,May,2018,40,7.1,Documentary,,English,
August 17 2018,To All the Boys I've Loved Before,Friday,August,2018,99,7.1,RomCom,,English,
November 2 2018,ReMastered: Tricky Dick & the Man in Black,Friday,November,2018,58,7.1,Documentary,,English,
November 13 2018,Loudon Wainwright III: Surviving Twin,Tuesday,November,2018,91,7.1,Musical,,English,
November 30 2018,Angela's Christmas,Friday,November,2018,30,7.1,Animation,,English,
April 20 2019,Grass Is Greener,Saturday,April,2019,97,7.1,Documentary,,English,
May 1 2019,Knock Down the House,Wednesday,May,2019,87,7.1,Documentary,,English,
June 19 2019,Beats,Wednesday,June,2019,110,7.1,Drama,,English,
July 24 2019,The Great Hack,Wednesday,July,2019,114,7.1,Documentary,,English,
September 10 2019,Evelyn,Tuesday,September,2019,96,7.1,Documentary,,English,
December 27 2019,El Pepe: A Supreme Life,Friday,December,2019,73,7.1,Documentary,,Spanish,
April 22 2020,Circus of Books,Wednesday,April,2020,92,7.1,Documentary,,English,
September 16 2020,The Devil All the Time,Wednesday,September,2020,138,7.1,Thriller,,English,
October 15 2020,Rooting for Roona,Thursday,October,2020,41,7.1,Documentary,,Bengali,
October 27 2020,Guillermo Vilas: Settling the Score,Tuesday,October,2020,94,7.1,Documentary,,Spanish,
November 27 2020,Dance Dreams: Hot Chocolate Nutcracker,Friday,November,2020,80,7.1,Documentary,,English,
December 1 2020,Angela's Christmas Wish,Tuesday,December,2020,47,7.1,Animation,,English,
January 7 2021,Pieces of a Woman,Thursday,January,2021,126,7.1,Drama,,English,
January 22 2021,The White Tiger,Friday,January,2021,125,7.1,Drama,,English,
January 29 2021,The Dig,Friday,January,2021,112,7.1,Drama,,English,
May 14 2021,Ferry,Friday,May,2021,106,7.1,Crime,Drama,Dutch,
September 1 2017,Resurface,Friday,September,2017,27,7,Documentary,,English,
September 22 2017,Gaga: Five Foot Two,Friday,September,2017,100,7,Documentary,,English,
October 13 2017,Kingdom of Us,Friday,October,2017,109,7,Documentary,,English,
October 12 2018,Feminists: What Were They Thinking?,Friday,October,2018,86,7,Documentary,,English,
October 19 2018,The Night Comes for Us,Friday,October,2018,121,7,Action,Thriller,Indonesian,
November 22 2018,The Christmas Chronicles,Thursday,November,2018,104,7,Comedy,Family,English,
March 22 2019,ReMastered: The Miami Showband Massacre,Friday,March,2019,70,7,Documentary,,English,
March 22 2019,The Dirt,Friday,March,2019,108,7,Biography,,English,
April 26 2019,ReMastered: Devil at the Crossroads,Friday,April,2019,48,7,Documentary,,English,
May 17 2019,ReMastered: The Lion's Share,Friday,May,2019,84,7,Documentary,,English,
August 9 2019,Rocko's Modern Life: Static Cling,Friday,August,2019,45,7,Animation,Comedy,English,
September 15 2019,Los Tigres del Norte at Folsom Prison,Sunday,September,2019,64,7,Documentary,,Spanish,
November 20 2019,"Lorena, Light-Footed Woman",Wednesday,November,2019,28,7,Documentary,,Spanish,
December 9 2020,Rose Island,Wednesday,December,2020,117,7,Comedy,,Italian,
December 18 2020,Ma Rainey's Black Bottom,Friday,December,2020,94,7,Drama,,English,
February 23 2021,Pele,Tuesday,February,2021,108,7,Documentary,,English,
March 17 2021,Operation Varsity Blues: The College Admissions Scandal,Wednesday,March,2021,99,7,Documentary,,English,
September 30 2016,Amanda Knox,Friday,September,2016,92,6.9,Documentary,,English,
February 24 2017,I Don't Feel at Home in This World Anymore,Friday,February,2017,96,6.9,Drama,,English,
May 19 2017,Laerte-se,Friday,May,2017,100,6.9,Documentary,,Portuguese,
September 29 2017,Our Souls at Night,Friday,September,2017,103,6.9,Romance,,English,
October 13 2017,The Meyerowitz Stories (New and Selected),Friday,October,2017,112,6.9,Dramedy,,English,
February 9 2018,Seeing Allred,Friday,February,2018,95,6.9,Documentary,,English,
October 12 2018,ReMastered: Who Shot the Sheriff?,Friday,October,2018,57,6.9,Documentary,,English,
November 9 2018,Outlaw King,Friday,November,2018,121,6.9,Drama,,English,
March 29 2019,The Highwaymen,Friday,March,2019,131,6.9,Crime,Drama,English,
May 23 2019,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Thursday,May,2019,30,6.9,Comedy,Musical,English,
May 1 2020,The Half of It,Friday,May,2020,105,6.9,Romance,,English,
June 3 2020,Spelling the Dream,Wednesday,June,2020,83,6.9,Documentary,,English,
July 10 2020,The Claudia Kishi Club,Friday,July,2020,17,6.9,Documentary,,English,
October 8 2020,Bigflo & Oil: Hip Hop Frenzy,Thursday,October,2020,100,6.9,Documentary,,French,
December 4 2020,Mank,Friday,December,2020,132,6.9,Biography,,English,
December 24 2020,AK vs AK,Thursday,December,2020,108,6.9,Thriller,,Hindi,
March 1 2021,Biggie: I Got a Story to Tell,Monday,March,2021,97,6.9,Documentary,,English,
March 26 2021,Pagglait,Friday,March,2021,114,6.9,Dramedy,,Hindi,
October 28 2016,7 años,Friday,October,2016,76,6.8,Drama,,Spanish,
July 14 2017,To the Bone,Friday,July,2017,107,6.8,Drama,,English,
September 12 2017,Heroin(e),Tuesday,September,2017,39,6.8,Documentary,,English,
November 21 2017,Saving Capitalism,Tuesday,November,2017,73,6.8,Documentary,,English,
January 26 2018,A Futile and Stupid Gesture,Friday,January,2018,101,6.8,Biography,Comedy,English,
February 9 2018,The Trader,Friday,February,2018,23,6.8,Documentary,,Georgian,
April 20 2018,Mercury 13,Friday,April,2018,79,6.8,Documentary,,English,
June 29 2018,Calibre,Friday,June,2018,101,6.8,Thriller,,English,
August 3 2018,Long Live Brij Mohan,Friday,August,2018,105,6.8,Comedy,,Hindi,
October 10 2018,22 July,Wednesday,October,2018,144,6.8,Drama,,English,
November 2 2018,The Other Side of the Wind,Friday,November,2018,122,6.8,Drama,,English,
May 3 2019,All in My Family,Friday,May,2019,39,6.8,Documentary,,English,Mandarin
May 31 2019,Always Be My Maybe,Friday,May,2019,102,6.8,RomCom,,English,
March 20 2020,A Life of Speed: The Juan Manuel Fangio Story,Friday,March,2020,92,6.8,Documentary,,Spanish,
May 6 2020,Becoming,Wednesday,May,2020,89,6.8,Documentary,,English,
May 11 2020,Have a Good Trip: Adventures in Psychedelics,Monday,May,2020,85,6.8,Documentary,,English,
September 17 2020,GIMS: On the Record,Thursday,September,2020,96,6.8,Documentary,,French,
September 21 2020,A Love Song for Latasha,Monday,September,2020,19,6.8,Documentary,,English,
September 30 2020,The Boys in the Band,Wednesday,September,2020,121,6.8,Drama,,English,
September 30 2020,The Boys in the Band: Something Personal,Wednesday,September,2020,28,6.8,Documentary,,English,
