date_release,title,day_release,month_release,year_release,runtime,imdb score,genre1,genre2,language1,language2
August 3 2018,Like Father,Friday,August,2018,103,6.1,Comedy,,English,
May 24 2019,The Perfection,Friday,May,2019,90,6.1,Horror,Thriller,English,
August 2 2019,Otherhood,Friday,August,2019,100,6.1,Comedy,,English,
September 20 2019,Between Two Ferns: The Movie,Friday,September,2019,82,6.1,Comedy,,English,
November 1 2019,Holiday in the Wild,Friday,November,2019,85,6.1,Adventure,Romance,English,
December 13 2019,6 Underground,Friday,December,2019,128,6.1,Action,,English,
March 13 2020,Lost Girls,Friday,March,2020,95,6.1,Crime,Drama,English,
April 17 2020,Sergio,Friday,April,2020,118,6.1,Biography,,English,
May 22 2020,The Lovebirds,Friday,May,2020,87,6.1,RomCom,,English,
August 7 2020,Work It,Friday,August,2020,93,6.1,Comedy,,English,
August 28 2020,Unknown Origins,Friday,August,2020,96,6.1,Thriller,,Spanish,
October 28 2020,Holidate,Wednesday,October,2020,104,6.1,RomCom,,English,
October 30 2020,Rogue City,Friday,October,2020,116,6.1,Drama,,French,
January 8 2021,Stuck Apart,Friday,January,2021,96,6.1,Drama,,Turkish,
January 15 2021,Tribhanga  Tedhi Medhi Crazy,Friday,January,2021,95,6.1,Drama,,Hindi,
January 29 2021,Finding 'Ohana,Friday,January,2021,123,6.1,Family,,English,
April 1 2021,Tersanjung the Movie,Thursday,April,2021,114,6.1,Drama,,Indonesian,
January 27 2017,iBoy,Friday,January,2017,90,6,SciFi,Thriller,English,
May 26 2017,War Machine,Friday,May,2017,122,6,Comedy,,English,
April 13 2018,Come Sunday,Friday,April,2018,106,6,Biography,,English,
May 4 2018,Forgive Us Our Debts,Friday,May,2018,104,6,Drama,,Italian,
May 11 2018,The Kissing Booth,Friday,May,2018,105,6,RomCom,,English,
November 16 2018,The Princess Switch,Friday,November,2018,101,6,RomCom,,English,
March 8 2019,Juanita,Friday,March,2019,90,6,Drama,,English,
June 14 2019,Murder Mystery,Friday,June,2019,97,6,Comedy,,English,
August 9 2019,Lovefucked,Friday,August,2019,106,6,Drama,,Hindi,
February 12 2020,To All the Boys: P.S. I Still Love You,Wednesday,February,2020,102,6,RomCom,,English,
August 14 2020,Project Power,Friday,August,2020,113,6,Action,,English,
October 21 2020,Rebecca,Wednesday,October,2020,123,6,Romance,Thriller,English,
November 25 2020,The Christmas Chronicles: Part Two,Wednesday,November,2020,115,6,Comedy,Drama,English,
November 11 2016,True Memoirs of an International Assassin,Friday,November,2016,98,5.9,Action,Comedy,English,
January 12 2018,The Polka King,Friday,January,2018,95,5.9,Dramedy,,English,
April 6 2018,6 Balloons,Friday,April,2018,75,5.9,Drama,,English,
April 6 2018,Amateur,Friday,April,2018,96,5.9,Drama,,English,
September 28 2018,Notes from Dunblane: Lesson from a School Shooting,Friday,September,2018,23,5.9,Documentary,,English,
November 16 2018,Cam,Friday,November,2018,94,5.9,Thriller,,English,
July 16 2019,"Frankenstein's Monster's Monster, Frankenstein",Tuesday,July,2019,32,5.9,Documentary,,English,
November 15 2019,Earthquake Bird,Friday,November,2019,107,5.9,Mystery,,English,
January 17 2020,A Fall from Grace,Friday,January,2020,120,5.9,Thriller,,English,
February 7 2020,Horse Girl,Friday,February,2020,104,5.9,Drama,,English,
March 20 2020,Ultras,Friday,March,2020,108,5.9,Drama,,Italian,
March 27 2020,Maska,Friday,March,2020,111,5.9,RomCom,,Hindi,
March 27 2020,The Decline,Friday,March,2020,83,5.9,Thriller,,French,
December 11 2020,The Prom,Friday,December,2020,132,5.9,Musical,,English,
January 1 2021,The Minimalists: Less Is Now,Friday,January,2021,53,5.9,Documentary,,English,
May 21 2021,Army of the Dead,Friday,May,2021,148,5.9,Action,Comedy,English,
April 29 2016,Special Correspondents,Friday,April,2016,100,5.8,Comedy,,English,
October 13 2016,Mascots,Thursday,October,2016,95,5.8,Documentary,,English,
December 16 2016,Barry,Friday,December,2016,104,5.8,Biography,,English,
April 28 2017,Rodney King,Friday,April,2017,52,5.8,Drama,,English,
April 28 2017,Small Crimes,Friday,April,2017,95,5.8,Comedy,,English,
November 17 2017,A Christmas Prince,Friday,November,2017,92,5.8,RomCom,,English,
March 30 2018,Happy Anniversary,Friday,March,2018,78,5.8,RomCom,,English,
April 27 2018,Candy Jar,Friday,April,2018,92,5.8,Comedy,,English,
June 29 2018,TAU,Friday,June,2018,97,5.8,Horror,Thriller,English,
July 27 2018,Extinction,Friday,July,2018,95,5.8,SciFi,Thriller,English,
August 24 2018,The After Party,Friday,August,2018,89,5.8,Comedy,,English,
September 7 2018,Sierra Burgess Is a Loser,Friday,September,2018,105,5.8,RomCom,,English,
November 30 2018,Rajma Chawal,Friday,November,2018,118,5.8,Dramedy,,Hindi,
March 29 2019,15 August,Friday,March,2019,124,5.8,Dramedy,,Marathi,
April 12 2019,The Perfect Date,Friday,April,2019,89,5.8,RomCom,,English,
November 1 2019,American Son,Friday,November,2019,90,5.8,Drama,,English,
November 8 2019,Let It Snow,Friday,November,2019,92,5.8,RomCom,,English,
April 17 2020,Rising High,Friday,April,2020,94,5.8,Comedy,,German,
April 30 2020,Rich in Love,Thursday,April,2020,105,5.8,RomCom,,Portuguese,
May 1 2020,All Day and a Night,Friday,May,2020,121,5.8,Drama,,English,
June 5 2020,Choked: Paisa Bolta Hai,Friday,June,2020,114,5.8,Drama,,Hindi,
July 24 2020,The Kissing Booth 2,Friday,July,2020,131,5.8,RomCom,,English,
August 21 2020,Class of '83,Friday,August,2020,98,5.8,Drama,,Hindi,
September 10 2020,The Babysitter: Killer Queen,Thursday,September,2020,102,5.8,Comedy,Horror,English,
October 2 2020,You've Got This,Friday,October,2020,111,5.8,RomCom,,Spanish,
November 5 2020,Operation Christmas Drop,Thursday,November,2020,96,5.8,RomCom,,English,
November 11 2020,What We Wanted,Wednesday,November,2020,93,5.8,Drama,,German,
December 7 2020,The Claus Family,Monday,December,2020,96,5.8,Fantasy,,Dutch,
December 14 2020,A California Christmas,Monday,December,2020,107,5.8,RomCom,,English,
May 14 2021,I Am All Girls,Friday,May,2021,107,5.8,Thriller,,English,
May 27 2016,The Do-Over,Friday,May,2016,108,5.7,Comedy,,English,
September 1 2017,Little Evil,Friday,September,2017,94,5.7,Comedy,,English,
December 8 2017,El Camino Christmas,Friday,December,2017,89,5.7,Comedy,,English,
December 15 2017,Christmas Inheritance,Friday,December,2017,104,5.7,Romance,,English,
November 2 2018,The Holiday Calendar,Friday,November,2018,95,5.7,RomCom,,English,
December 12 2018,"Out of Many, One",Wednesday,December,2018,34,5.7,Documentary,,English,
January 4 2019,Lionheart,Friday,January,2019,94,5.7,Comedy,,English,
February 1 2019,Velvet Buzzsaw,Friday,February,2019,112,5.7,Thriller,,English,
May 16 2019,Good Sam,Thursday,May,2019,89,5.7,Drama,,English,
July 12 2019,Point Blank,Friday,July,2019,86,5.7,Action,,English,
October 18 2019,Eli,Friday,October,2019,98,5.7,Horror,,English,
May 13 2020,The Wrong Missy,Wednesday,May,2020,90,5.7,Comedy,,English,
June 18 2020,One Take,Thursday,June,2020,85,5.7,Documentary,,Thai,
September 11 2020,Dad Wanted,Friday,September,2020,102,5.7,Family,,Spanish,
October 9 2020,Ginny Weds Sunny,Friday,October,2020,125,5.7,RomCom,,Hindi,
March 12 2021,Yes Day,Friday,March,2021,86,5.7,Comedy,,English,
March 25 2021,Caught by a Wave,Thursday,March,2021,99,5.7,Romance,,Italian,
March 26 2021,A Week Away,Friday,March,2021,97,5.7,Musical,,English,
April 14 2021,Prime Time,Wednesday,April,2021,91,5.7,Thriller,,Polish,
May 14 2021,The Woman in the Window,Friday,May,2021,100,5.7,Thriller,,English,
July 7 2016,Brahman Naman,Thursday,July,2016,95,5.6,Comedy,,English,
October 12 2017,Bomb Scared,Thursday,October,2017,89,5.6,Comedy,,Spanish,
September 28 2018,Hold the Dark,Friday,September,2018,125,5.6,Thriller,,English,
January 11 2019,The Last Laugh,Friday,January,2019,98,5.6,Dramedy,,English,
August 29 2019,Falling Inn Love,Thursday,August,2019,97,5.6,RomCom,,English,
June 19 2020,One-Way to Tomorrow,Friday,June,2020,90,5.6,Romance,,Turkish,
August 21 2020,The Sleepover,Friday,August,2020,103,5.6,Comedy,,English,
September 3 2020,"Love, Guaranteed",Thursday,September,2020,91,5.6,RomCom,,English,
September 16 2020,The Paramedic,Wednesday,September,2020,94,5.6,Thriller,,Spanish,
October 2 2020,Vampires vs. the Bronx,Friday,October,2020,86,5.6,Comedy,,English,
October 27 2020,Sarah Cooper: Everything's Fine,Tuesday,October,2020,49,5.6,Comedy,,English,
December 23 2020,The Midnight Sky,Wednesday,December,2020,118,5.6,SciFi,,English,
January 15 2021,Double Dad,Friday,January,2021,103,5.6,Dramedy,,Portuguese,
February 5 2021,The Last Paradiso,Friday,February,2021,107,5.6,Romance,,Italian,
April 14 2021,Why Did You Kill Me?,Wednesday,April,2021,83,5.6,Documentary,,English,
December 4 2015,A Very Murray Christmas,Friday,December,2015,56,5.5,Comedy,Musical,English,
January 19 2018,Step Sisters,Friday,January,2018,108,5.5,Comedy,,English,
February 4 2018,The Cloverfield Paradox,Sunday,February,2018,102,5.5,SciFi,,English,
February 23 2018,Mute,Friday,February,2018,126,5.5,SciFi,Mystery,English,
July 6 2018,The Legacy of a Whitetail Deer Hunter,Friday,July,2018,83,5.5,Adventure,Comedy,English,
August 10 2018,The Package,Friday,August,2018,94,5.5,Comedy,,English,
October 26 2018,Been So Long,Friday,October,2018,100,5.5,Musical,,English,
February 8 2019,Kevin Hart's Guide to Black History,Friday,February,2019,63,5.5,Comedy,,English,
April 5 2019,Unicorn Store,Friday,April,2019,92,5.5,Comedy,,English,
May 10 2019,Wine Country,Friday,May,2019,103,5.5,Comedy,,English,
October 16. 2019,Ghosts of Sugar Land,Wednesday,October,2019,21,5.5,Documentary,,English,
November 15 2019,House Arrest,Friday,November,2019,104,5.5,Comedy,,Hindi,
November 21 2019,The Knight Before Christmas,Thursday,November,2019,92,5.5,RomCom,,English,
December 1 2019,Dead Kids,Sunday,December,2019,94,5.5,Thriller,,Filipino,
April 10 2020,Love Wedding Repeat,Friday,April,2020,100,5.5,RomCom,,English,
October 2 2020,Òlòt?ré,Friday,October,2020,106,5.5,Drama,,English,
February 11 2021,Red Dot,Thursday,February,2021,86,5.5,Thriller,,Swedish,
April 15 2021,Ride or Die,Thursday,April,2021,142,5.5,Thriller,Drama,Japanese,
April 28 2021,Get the Grift,Wednesday,April,2021,94,5.5,Comedy,,Portuguese,
August 11 2017,Naked,Friday,August,2017,96,5.4,Comedy,,English,
March 23 2018,"Game Over, Man!",Friday,March,2018,101,5.4,Action,Comedy,English,
May 3 2019,Despite Everything,Friday,May,2019,78,5.4,Comedy,,Spanish,
October 4 2019,In the Tall Grass,Friday,October,2019,101,5.4,Horror,,English,
December 5 2019,A Christmas Prince: The Royal Baby,Thursday,December,2019,85,5.4,RomCom,,English,
March 6 2020,Guilty,Friday,March,2020,119,5.4,Thriller,,Hindi,
July 1 2020,Under the Riccione Sun,Wednesday,July,2020,101,5.4,Romance,,Italian,
September 2 2020,Freaks: You're One of Us,Wednesday,September,2020,92,5.4,Drama,,German,
September 18 2020,Dolly Kitty and Those Twinkling Stars,Friday,September,2020,120,5.4,Drama,,Hindi,
October 15 2020,A Babysitter's Guide to Monster Hunting,Thursday,October,2020,98,5.4,Comedy,Family,English,
November 19 2020,The Princess Switch: Switched Again,Thursday,November,2020,97,5.4,RomCom,,English,
January 15 2021,Outside the Wire,Friday,January,2021,114,5.4,Action,SciFi,English,
April 2 2021,Madame Claude,Friday,April,2021,112,5.4,Drama,,French,
August 26 2016,XOXO,Friday,August,2016,92,5.3,Drama,,English,
June 24 2018,"To Each, Her Own",Sunday,June,2018,95,5.3,RomCom,,French,
September 7 2018,The Most Assassinated Woman in the World,Friday,September,2018,102,5.3,Thriller,,French,
November 30 2018,A Christmas Prince: The Royal Wedding,Friday,November,2018,92,5.3,RomCom,,English,
April 12 2019,Who Would You Take to a Deserted Island?,Friday,April,2019,93,5.3,Drama,,Spanish,
August 30 2019,Back to School,Friday,August,2019,83,5.3,Comedy,,French,
April 30 2020,Dangerous Lies,Thursday,April,2020,97,5.3,Thriller,,English,
May 28 2020,Intuition,Thursday,May,2020,116,5.3,Thriller,,Spanish,
August 12 2020,Gunjan Saxena: The Kargil Girl,Wednesday,August,2020,112,5.3,Drama,,Hindi,
April 29 2021,Things Heard & Seen,Thursday,April,2021,121,5.3,Horror,,English,
February 14 2017,Girlfriend's Day,Tuesday,February,2017,70,5.2,Comedy,,English,
April 14 2017,Sandy Wexler,Friday,April,2017,131,5.2,Comedy,,English,
May 5 2017,Handsome: A Netflix Mystery Movie,Friday,May,2017,81,5.2,Comedy,,English,
September 8 2017,#REALITYHIGH,Friday,September,2017,99,5.2,Comedy,,English,
April 27 2018,The Week Of,Friday,April,2018,116,5.2,Comedy,,English,
May 25 2018,Ibiza,Friday,May,2018,94,5.2,Comedy,,English,
July 20 2018,Father of the Year,Friday,July,2018,94,5.2,Comedy,,English,
February 22 2019,Firebrand,Friday,February,2019,112,5.2,Drama,,Marathi,
May 14 2019,Still Laugh-In: The Stars Celebrate,Tuesday,May,2019,60,5.2,Comedy,,English,
May 17 2019,See You Yesterday,Friday,May,2019,87,5.2,SciFi,,English,
May 24 2019,Rim of the World,Friday,May,2019,98,5.2,SciFi,Adventure,English,
September 13 2019,Tall Girl,Friday,September,2019,102,5.2,Dramedy,,English,
July 3 2020,Desperados,Friday,July,2020,106,5.2,RomCom,,English,
October 7 2020,Hubie Halloween,Wednesday,October,2020,103,5.2,Comedy,,English,
November 22 2020,Dolly Parton's Christmas on the Square,Sunday,November,2020,98,5.2,Musical,Drama,English,
November 27 2020,The Beast,Friday,November,2020,99,5.2,Drama,,Italian,
February 5 2021,"Strip Down, Rise Up",Friday,February,2021,112,5.2,Documentary,,English,
May 26 2021,Ghost Lab,Wednesday,May,2021,117,5.2,Horror,,Thai,
January 13 2017,Clinical,Friday,January,2017,104,5.1,Thriller,,English,
April 20 2018,Dude,Friday,April,2018,97,5.1,Comedy,,English,
April 3 2020,Coffee & Kareem,Friday,April,2020,88,5.1,Action,,English,
July 23 2020,The Larva Island Movie,Thursday,July,2020,90,5.1,Animation,,English,
October 22 2020,Cadaver,Thursday,October,2020,86,5.1,Horror,,Norwegian,
February 25 2021,Geez & Ann,Thursday,February,2021,105,5.1,Romance,,Indonesian,
July 15 2016,Rebirth,Friday,July,2016,100,5,Thriller,,English,
July 13 2018,How It Ends,Friday,July,2018,113,5,Action,,English,
January 23 2020,Airplane Mode,Thursday,January,2020,96,5,Comedy,,Portuguese,
October 15 2020,Love Like the Falling Rain,Thursday,October,2020,86,5,Drama,,Indonesian,
February 11 2021,Squared Love,Thursday,February,2021,102,5,Romance,,Polish,
November 28 2019,Holiday Rush,Thursday,November,2019,94,4.9,Family,,English,
April 17 2020,Earth and Blood,Friday,April,2020,80,4.9,Action,,French,
August 14 2020,Fearless,Friday,August,2020,89,4.9,Animation,,English,
October 30 2020,The Day of the Lord,Friday,October,2020,93,4.9,Drama,,Spanish,
December 11 2015,The Ridiculous 6,Friday,December,2015,119,4.8,Western,,English,
January 6 2017,Coin Heist,Friday,January,2017,97,4.8,Thriller,,English,
January 20 2017,Take the 10,Friday,January,2017,80,4.8,Comedy,,English,
April 10 2020,The Main Event,Friday,April,2020,101,4.8,Comedy,,English,
May 1 2020,Mrs. Serial Killer,Friday,May,2020,106,4.8,Thriller,,Hindi,
October 28 2020,Nobody Sleeps in the Woods Tonight,Wednesday,October,2020,103,4.8,Horror,,Polish,
December 4 2020,Christmas Crossfire,Friday,December,2020,106,4.8,Thriller,,German,
January 18 2019,IO,Friday,January,2019,95,4.7,SciFi,Drama,English,
October 2 2020,The Binding,Friday,October,2020,93,4.7,Drama,,Italian,
November 30 2020,Finding Agnes,Monday,November,2020,105,4.7,Drama,,Filipino,
December 25 2020,We Can Be Heroes,Friday,December,2020,100,4.7,Action,Comedy,English,
March 5 2021,Sentinelle,Friday,March,2021,80,4.7,Action,,French,
October 28 2016,I Am the Pretty Thing That Lives in the House,Friday,October,2016,89,4.6,Horror,,English,
December 7 2018,5 Star Christmas,Friday,December,2018,95,4.6,Comedy,,Italian,
February 22 2019,Paris Is Us,Friday,February,2019,83,4.6,Romance,Drama,French,
May 24 2019,After Maria,Friday,May,2019,37,4.6,Documentary,,English,Spanish
October 25 2019,Rattlesnake,Friday,October,2019,85,4.6,Horror,,English,
December 3 2019,Porta dos Fundos: The First Temptation of Christ,Tuesday,December,2019,46,4.6,Comedy,,Portuguese,
July 14 2020,We Are One,Tuesday,July,2020,86,4.6,Documentary,,French,
July 15 2020,The Players,Wednesday,July,2020,88,4.6,Comedy,,Italian,
July 16 2020,Fatal Affair,Thursday,July,2020,89,4.5,Thriller,,English,
July 31 2020,Seriously Single,Friday,July,2020,107,4.5,Comedy,,English,
February 10 2021,The Misadventures of Hedi and Cokeman,Wednesday,February,2021,99,4.5,Comedy,,French,
April 2 2021,Just Say Yes,Friday,April,2021,97,4.5,Romance,,Dutch,
August 25 2017,Death Note,Friday,August,2017,100,4.4,Horror,Thriller,English,
July 18 2019,Secret Obsession,Thursday,July,2019,97,4.4,Thriller,,English,
August 16 2019,Sextuplets,Friday,August,2019,99,4.4,Comedy,,English,
September 13 2019,"Hello Privilege. It's Me, Chelsea",Friday,September,2019,64,4.4,Documentary,,English,
February 26 2021,The Girl on the Train,Friday,February,2021,120,4.4,Thriller,,Hindi,
April 9 2021,Thunder Force,Friday,April,2021,105,4.4,Comedy,,English,
December 19 2019,After the Raid,Thursday,December,2019,25,4.3,Documentary,,Spanish,
January 1 2020,Ghost Stories,Wednesday,January,2020,144,4.3,Horror,,Hindi,
February 21 2020,The Last Thing He Wanted,Friday,February,2020,115,4.3,Thriller,,English,
January 1 2021,What Happened to Mr. Cha?,Friday,January,2021,102,4.3,Comedy,,Korean,
November 22 2016,Mercy,Tuesday,November,2016,90,4.2,Thriller,,English,
October 1 2020,All Because of You,Thursday,October,2020,101,4.2,Action,Comedy,Malay,
September 18 2020,Whipped,Friday,September,2020,97,4.1,Romance,Comedy,Indonesian,
November 27 2020,The Call,Friday,November,2020,112,4.1,Drama,,Korean,
April 22 2021,Searching for Sheela,Thursday,April,2021,58,4.1,Documentary,,English,
May 18 2021,Sardar Ka Grandson,Tuesday,May,2021,139,4.1,Comedy,,Hindi,
March 23 2018,Paradox,Friday,March,2018,73,3.9,Musical,Fantasy,English,
June 5 2020,The Last Days of American Crime,Friday,June,2020,149,3.7,Thriller,,English,
December 4 2020,Leyla Everlasting,Friday,December,2020,112,3.7,Comedy,,Turkish,
November 1 2019,Drive,Friday,November,2019,147,3.5,Action,,Hindi,
October 30 2020,Kaali Khuhi,Friday,October,2020,90,3.4,Mystery,,Hindi,
January 19 2018,The Open House,Friday,January,2018,94,3.2,Horror,,English,
December 26 2019,The App,Thursday,December,2019,79,2.6,SciFi,Drama,Italian,
August 21 2020,Dark Forces,Friday,August,2020,81,2.6,Thriller,,Spanish,
August 5 2019,Enter the Animation,Monday,August,2019,58,2.5,Documentary,,English,Japanese
